Date,Close,High,Low,Open,Volume
2024-01-11,227.22000122070312,230.92999267578125,225.3699951171875,230.57000732421875,105873600
2024-01-12,218.88999938964844,225.33999633789062,217.14999389648438,220.0800018310547,123043800
2024-01-16,219.91000366210938,223.49000549316406,212.17999267578125,215.10000610351562,115355000
2024-01-17,215.5500030517578,215.6699981689453,212.00999450683594,214.86000061035156,103164400
2024-01-18,211.8800048828125,217.4499969482422,208.74000549316406,216.8800048828125,108595400
2024-01-19,212.19000244140625,213.19000244140625,207.55999755859375,209.99000549316406,102260300
2024-01-22,208.8000030517578,217.8000030517578,206.27000427246094,212.25999450683594,117952500
2024-01-23,209.13999938964844,215.64999389648438,207.75,211.3000030517578,106605900
2024-01-24,207.8300018310547,212.72999572753906,206.77000427246094,211.8800048828125,123369900
2024-01-25,182.6300048828125,193.0,180.05999755859375,189.6999969482422,198076800
2024-01-26,183.25,186.77999877929688,182.10000610351562,185.5,107343200
2024-01-29,190.92999267578125,191.47999572753906,183.6699981689453,185.6300048828125,125013100
2024-01-30,191.58999633789062,196.36000061035156,190.61000061035156,195.3300018310547,109982300
2024-01-31,187.2899932861328,193.97000122070312,185.85000610351562,187.0,103221400
2024-02-01,188.86000061035156,189.8800048828125,184.27999877929688,188.5,91843300
2024-02-02,187.91000366210938,188.69000244140625,182.0,185.0399932861328,110612700
2024-02-05,181.05999755859375,184.67999267578125,175.00999450683594,184.25999450683594,134294400
2024-02-06,185.10000610351562,186.49000549316406,177.11000061035156,177.2100067138672,122676000
2024-02-07,187.5800018310547,189.7899932861328,182.67999267578125,188.17999267578125,111535200
2024-02-08,189.55999755859375,191.6199951171875,185.5800018310547,189.0,83034000
