Date,Close,High,Low,Open,Volume
2024-05-07,188.75999450683594,189.94000244140625,187.30999755859375,188.9199981689453,34048900
2024-05-08,188.0,188.42999267578125,186.38999938964844,187.44000244140625,26136400
2024-05-09,189.5,191.6999969482422,187.44000244140625,188.8800048828125,43368400
2024-05-10,187.47999572753906,189.88999938964844,186.92999267578125,189.16000366210938,34141800
2024-05-13,186.57000732421875,188.30999755859375,185.36000061035156,188.0,24898600
2024-05-14,187.07000732421875,187.72000122070312,183.4499969482422,183.82000732421875,38698200
2024-05-15,185.99000549316406,186.72000122070312,182.72999572753906,185.97000122070312,75459900
2024-05-16,183.6300048828125,187.30999755859375,183.4600067138672,185.60000610351562,38834500
2024-05-17,184.6999969482422,185.3000030517578,183.35000610351562,183.75999450683594,33175700
2024-05-20,183.5399932861328,186.6699981689453,183.27999877929688,184.33999633789062,30511800
2024-05-21,183.14999389648438,183.25999450683594,180.75,182.3000030517578,50839100
2024-05-22,183.1300048828125,185.22000122070312,181.97000122070312,183.8800048828125,28148800
2024-05-23,181.0500030517578,184.75999450683594,180.0800018310547,183.66000366210938,33670200
2024-05-24,180.75,182.44000244140625,180.3000030517578,181.64999389648438,27471600
2024-05-28,182.14999389648438,182.24000549316406,179.49000549316406,179.92999267578125,29927000
2024-05-29,182.02000427246094,184.0800018310547,181.5500030517578,181.6999969482422,32009300
2024-05-30,179.32000732421875,181.33999633789062,178.36000061035156,181.30999755859375,29184700
2024-05-31,176.44000244140625,179.2100067138672,173.8699951171875,178.3000030517578,58903900
2024-06-03,178.33999633789062,178.6999969482422,175.9199981689453,177.6999969482422,30786600
2024-06-04,179.33999633789062,179.82000732421875,176.44000244140625,177.63999938964844,27198400
